xp,yp,zp,xv,yv,zv,xd,yd,zd,spd,t
-2207.5,-1792.5,7402.5,150,-150,-50,1,0,0,217.94494717703367,11.950000000000001
-2200,-1800,7400,150,-150,-50,1,0,0,217.94494717703367,12
-2192.5,-1807.5,7397.5,150,-150,-50,1,0,0,217.94494717703367,12.05
-2185,-1815,7395,150,-150,-50,1,0,0,217.94494717703367,12.100000000000001
-2177.5,-1822.5,7392.5,150,-150,-50,1,0,0,217.94494717703367,12.15
-2170,-1830,7390,150,-150,-50,1,0,0,217.94494717703367,12.200000000000001
-2162.5,-1837.5,7387.5,150,-150,-50,1,0,0,217.94494717703367,12.25
-2155,-1845,7385,150,-150,-50,1,0,0,217.94494717703367,12.3
-2147.5,-1852.5,7382.5,150,-150,-50,1,0,0,217.94494717703367,12.350000000000001
-2140,-1860,7380,150,-150,-50,1,0,0,217.94494717703367,12.4
-2132.5,-1867.5,7377.5,150,-150,-50,1,0,0,217.94494717703367,12.450000000000001
-2125,-1875,7375,150,-150,-50,1,0,0,217.94494717703367,12.5
-2117.5,-1882.5,7372.5,150,-150,-50,1,0,0,217.94494717703367,12.55
-2110,-1890,7370,150,-150,-50,1,0,0,217.94494717703367,12.600000000000001
-2102.5,-1897.5,7367.5,150,-150,-50,1,0,0,217.94494717703367,12.65
-2095,-1905,7365,150,-150,-50,1,0,0,217.94494717703367,12.700000000000001
-2087.5,-1912.5,7362.5,150,-150,-50,1,0,0,217.94494717703367,12.75
-2080,-1920,7360,150,-150,-50,1,0,0,217.94494717703367,12.8
-2072.5,-1927.5,7357.5,150,-150,-50,1,0,0,217.94494717703367,12.850000000000001
-2065,-1935,7355,150,-150,-50,1,0,0,217.94494717703367,12.9
-2057.5,-1942.5,7352.5,150,-150,-50,1,0,0,217.94494717703367,12.950000000000001
-2050,-1950,7350,150,-150,-50,1,0,0,217.94494717703367,13
-2042.5,-1957.5,7347.5,150,-150,-50,1,0,0,217.94494717703367,13.05
-2035,-1965,7345,150,-150,-50,1,0,0,217.94494717703367,13.100000000000001
-2027.5,-1972.5,7342.5,150,-150,-50,1,0,0,217.94494717703367,13.15
-2020,-1980,7340,150,-150,-50,1,0,0,217.94494717703367,13.200000000000001
-2012.5,-1987.5,7337.5,150,-150,-50,1,0,0,217.94494717703367,13.25
-2005,-1995,7335,150,-150,-50,1,0,0,217.94494717703367,13.3
-1997.5,-2002.5,7332.5,150,-150,-50,1,0,0,217.94494717703367,13.350000000000001
-1990,-2010,7330,150,-150,-50,1,0,0,217.94494717703367,13.4
-1982.5,-2017.5,7327.5,150,-150,-50,1,0,0,217.94494717703367,13.450000000000001
-1975,-2025,7325,150,-150,-50,1,0,0,217.94494717703367,13.5
-1967.5,-2032.5,7322.5,150,-150,-50,1,0,0,217.94494717703367,13.55
-1960,-2040,7320,150,-150,-50,1,0,0,217.94494717703367,13.600000000000001
